timestamp_open,timestamp_close,low,high,open,close,volume,volume_quote,trades,taker_buy_volume,taker_buy_quote,adx,rsi,macd,macd_signal,bb_upper,bb_middle,bb_lower,atr_prev,atr_last,ema_short,ema_long
1710442800000,1710444599999,162.105,165.487,165.277,162.486,1028555.0,1.68624435198E8,124424,507046.0,8.316334564E7,60.615984724966786,42.23965991323756,-1.269838535329427,-0.7156410529450224,175.12492992724148,168.93389999999997,162.74287007275845,3.623821825792954,3.6065488382363142,166.3927160911363,168.1870206661935
1710444600000,1710446399999,159.288,165.454,162.486,162.661,2374714.0,3.8439495027E8,245712,1206286.0,1.95413678011E8,75.80383771712008,38.472613565930786,-1.4365979621428266,-0.773933532847375,174.95790172425006,168.43695,161.91599827574993,3.520144705668698,3.7091343695495054,165.64442650233946,167.69061586613847
1710446400000,1710448199999,162.226,167.979,162.627,167.503,1028303.0,1.70141256294E8,122170,544521.0,9.0075769112E7,73.53969808939104,50.94038118217335,-1.209773772816476,-0.8384264048639469,174.42230444390427,168.18144999999998,161.9405955560957,3.5676887659633167,3.7237824255373657,166.01562740839822,167.65373409472528
1710448200000,1710449999999,167.13,169.423,167.5,168.548,745840.0,1.25715727019E8,88378,371992.0,6.2703831107E7,13.090244166927242,54.290972123326455,-1.0654833369970333,-1.0073508086723666,173.68496462839707,167.9339,162.18283537160292,3.756242780240626,3.651725438794867,166.52490058999098,167.84517284692095
1710450000000,1710451799999,167.6,170.568,168.55,169.111,651135.0,1.10190895811E8,75338,319766.0,5.4132038859E7,11.981945629706486,51.04596173629216,-0.787875364209043,-0.9495838474171349,173.34265201681737,167.8098,162.27694798318262,3.640434880637211,3.5924038177345534,167.0418061512797,167.92487683778705
1710451800000,1710453599999,168.361,169.634,169.112,169.199,198517.0,3.3545621743E7,24869,93012.0,1.5718283251E7,26.783909216906405,51.70757586211033,-1.111789909450323,-1.578782338188827,172.58126131544884,167.60410000000005,162.62693868455125,4.279873358889598,4.065096690397484,167.48676675631614,168.62414902256242
1710453600000,1710455399999,169.154,174.0,169.2,173.371,972698.0,1.67351240753E8,109069,561543.0,9.6604930158E7,6.414566437092244,53.116472739629,-0.42276022894080256,-1.19552085390384,173.10726365938413,167.72084999999998,162.33443634061584,3.6765133138048287,3.7600480771044835,168.66016796646701,168.82163760274233
1710455400000,1710457199999,172.375,173.832,173.371,173.12,500725.0,8.6692263611E7,58499,227163.0,3.9338299402E7,50.42976477578075,58.51893236937314,-0.016419610022126108,-0.9614345891727831,173.28694171038083,167.75939999999997,162.2318582896191,3.5924146511248436,3.4398850331873545,169.55217366326275,169.1417924402835
1710457200000,1710458999999,172.64,175.63,173.12,174.877,794346.0,1.38521864825E8,94088,423023.0,7.3773351019E7,61.42573941152928,57.44220627821125,0.33533824410937996,-0.8202577043740695,174.31623097409002,168.01825,161.72026902590997,3.3978590667116357,3.368726276232233,170.61981670130064,169.68641139262624
1710459000000,1710460799999,174.752,178.7,174.876,176.851,1072824.0,1.89591884145E8,129508,566707.0,1.00128401414E8,60.92906524549221,60.54229278971322,1.0882133100233773,-0.18433476377356595,175.86640625387588,168.53435000000002,161.20229374612416,3.7830270352951048,3.7948108184883114,171.86029282951006,169.9594270980206
