low,high,open,close,volume,macd,macd_hist,macd_signal,adx,bb_upper,bb_middle,bb_lower,bb_width,bb_percent,rsi,atr,ema_short,ema_long
85.64,89.85,89.69,85.75,507103.445,,,,,,,,,,,,,
83.34,87.94,85.76,87.72,869010.547,,,,,,,,,,,,,
86.6,87.95,87.71,87.01,206473.094,,,,,,,,,,,,,
85.61,88.06,87.02,87.85,313439.021,,,,,,,,,,,,,
87.16,88.38,87.85,88.0,168857.967,,,,,,,,,,,,,
87.36,89.03,87.99,88.85,220887.959,,,,,,,,,,,,,
87.93,89.02,88.84,89.0,150984.664,,,,,,,,,,,,,
88.17,89.29,88.99,88.28,120427.361,,,,,,,,,,,,,
87.49,89.18,88.28,88.42,239899.207,,,,,,,,,,,,87.87555555555555,
87.75,89.17,88.41,89.09,99012.569,,,,,,,,,,,,88.11844444444445,
89.08,91.12,89.09,91.04,211297.892,,,,,,,,,,,,88.70275555555557,
88.42,91.37,91.04,88.97,274089.494,,,,,,,,,,,,88.75620444444446,
86.93,89.15,88.97,87.47,305927.844,,,,,,,,,,,,88.49896355555558,
87.37,88.66,87.47,88.63,82232.624,,,,,,,,,,,,88.52517084444446,
88.39,89.57,88.63,89.49,76564.237,,,,,,,,,,60.62940558010659,1.807270787129896,88.71813667555557,
89.08,90.1,89.48,89.84,109355.96,,,,,,,,,,62.15905652785415,1.7234618796057841,88.94250934044446,
89.55,90.51,89.83,89.89,136692.109,,,,,,,,,,62.38390025459193,1.6449379612152963,89.13200747235557,
89.57,90.21,89.88,89.94,113829.158,,,,,,,,,,62.62307048614758,1.54472666500428,89.29360597788445,
89.54,90.15,89.95,89.64,79635.725,,,,,,,,,,60.151812900943874,1.454081151483309,89.36288478230757,
89.22,89.96,89.65,89.57,79851.213,,,,,,,,,,59.561192410485724,1.3865578379730654,89.40430782584606,
89.08,89.93,89.57,89.56,96550.344,,,,,90.86055333688196,88.913,86.96544666311803,4.380806714163209,0.6661058487455478,59.471355611213774,1.3369681457467586,89.43544626067685,
88.32,89.64,89.56,89.45,168867.883,,,,,90.87994117164034,88.9995,87.11905882835966,4.225734238148174,0.619785720179437,58.42739342756761,1.3354321629443457,89.43835700854149,
88.89,89.86,89.46,89.58,93787.622,,,,,90.78504073576967,89.128,87.47095926423033,3.7183393227036836,0.63638771523322,59.335890527758544,1.3029724311041246,89.4666856068332,
89.42,90.41,89.58,90.36,148039.156,,,,,90.88435591025085,89.2535,87.62264408974916,3.654435759383876,0.8392390440642316,64.36741463793092,1.2756478333821657,89.64534848546656,
89.99,90.83,90.37,90.19,139153.821,,,,,90.93554061950721,89.363,87.79045938049279,3.5194445564880503,0.7629502824096072,62.55081075769682,1.2382073341153144,89.75427878837326,
89.88,90.66,90.18,90.33,96103.34,,,,,91.044906713712,89.437,87.829093286288,3.5956186225208757,0.7776902392360903,63.465269009809184,1.1993913807866043,89.86942303069861,88.99692307692307
89.72,90.55,90.32,89.9,118802.69,0.671028188346213,,,,91.08884286724002,89.482,87.87515713275998,3.591432617152095,0.6300687231222493,58.722306697698194,1.168509498482106,89.8755384245589,89.06381766381766
88.56,90.26,89.9,89.57,199079.465,0.608172300147956,,,6.792148278933025,91.05576836579851,89.5465,88.03723163420148,3.370915369776639,0.5077852290992547,55.30630290608993,1.2124087942444817,89.81443073964712,89.10131265168302
88.12,89.88,89.55,88.14,215086.394,0.43792142135845324,,,8.63769947021762,91.08779900662225,89.5325,87.97720099337775,3.4742669011191447,0.05233688375324459,43.49791827130035,1.2571384124587337,89.4795445917177,89.0301043071139
86.65,88.89,88.15,86.79,334695.481,0.19185111551074385,,,11.863270995734295,91.3748336455495,89.41749999999999,87.46016635445048,4.377965488969187,-0.1711936940271435,35.73988807563193,1.336607779880361,88.94163567337417,88.86417065473509
86.33,88.14,86.79,88.09,235235.499,0.10057835605158516,,,14.948605453758072,91.15946553289551,89.27000000000001,87.38053446710451,4.233147827703594,0.18774238549042935,45.77021605314092,1.3745265111685188,88.77130853869934,88.80682468031027
87.15,88.42,88.08,88.39,146251.875,0.05185379116419142,,,17.065595276866148,91.16547291485229,89.241,87.31652708514771,4.312979269287184,0.27890049960372726,47.79531263885602,1.3662259127317924,88.69504683095948,88.77594877806507
88.12,88.85,88.39,88.3,146027.698,0.005908860940010641,,,18.086076084139894,91.08430881338728,89.2825,87.48069118661272,4.036197045081135,0.22735731096992298,47.22555406761503,1.3161024390229534,88.61603746476759,88.74069331302321
85.85,88.44,88.3,86.38,306303.042,-0.18331760987312862,-0.4713055178739659,0.2879879080008373,20.79276492096432,91.35989497465063,89.17,86.98010502534937,4.911730345745492,-0.13701685064716826,37.07242405712807,1.41573062564495,88.16882997181408,88.56582714168816
83.33,86.72,86.39,84.34,628100.462,-0.49221792051164925,-0.6241646628099893,0.13194674229834,24.36293696252766,91.9416442686013,88.9125,85.8833557313987,6.8137646981049915,-0.25475111030471514,29.75313038174102,1.5690934379484462,87.40306397745127,88.25280290897052
84.33,86.28,84.34,84.75,286651.316,-0.6959179596670566,-0.6622917615723173,-0.03362619809473931,27.54909820910625,92.1522615815076,88.65799999999999,85.16373841849237,7.882563517127875,-0.0592025537930481,32.63192510859269,1.5984987137519138,86.87245118196101,87.99333602682457
83.39,85.54,84.74,84.9,215110.005,-0.8356155064735162,-0.6415914467030215,-0.1940240597704947,30.734551407853655,92.21399747076516,88.4085,84.60300252923484,8.608895006170584,0.03902216110334802,33.70239303929418,1.6408293546471238,86.47796094556881,87.76420002483756
83.31,85.21,84.9,84.29,180504.206,-0.9842034362338694,-0.6321435011706997,-0.3520599350631697,33.62330127194279,92.25950892100164,88.126,83.99249107899837,9.380906704041111,0.03598745360026268,31.509656507333798,1.6606166711090755,86.04036875645505,87.5068518748496
83.68,84.93,84.28,84.9,123354.063,-1.0407415186816138,-0.5509452668947552,-0.48979625178685854,36.22601127920344,92.18832506330938,87.88900000000001,83.58967493669064,9.783533919624453,0.15238729847293198,35.99431084362282,1.629420150134541,85.81229500516405,87.31375173597185
82.23,84.89,84.89,84.16,438452.047,-1.132208773947724,-0.5139300177286924,-0.6182787562190316,39.03723592260004,92.13596068051511,87.6185,83.10103931948488,10.311659479482334,0.11720751495222344,33.157875460283414,1.7081202111840321,85.48183600413124,87.08014049627023
83.28,85.57,84.16,83.39,225419.41,-1.2523929907636528,-0.5072913876356969,-0.7451016031279559,40.567580329730845,92.09005439299598,87.31,82.52994560700402,10.949614919244024,0.08996282492686486,30.467462163070177,1.751944177044644,85.063468803305,86.80679675580578
83.39,85.14,83.39,85.06,161126.766,-1.199062756180524,-0.36316892244205445,-0.8358938337384696,41.95601745568087,91.86048731654499,87.09049999999999,82.320512683455,10.954093308787982,0.28715876319449807,41.5454536813558,1.7517983191761213,85.062775042644,86.67740440352387
84.88,86.06,85.07,85.82,110622.293,-1.082988495396819,-0.19767572932667943,-0.8853127660701395,41.919422607821815,91.56025858112034,86.9025,82.24474141887967,10.71950422857877,0.3837960382502654,45.77916239306451,1.7090539696473135,85.2142200341152,86.6138929662258
