low,high,open,close,volume,macd,macd_hist,macd_signal,adx,bb_upper,bb_middle,bb_lower,bb_width,bb_percent,rsi,atr,ema_short,ema_long
540.23,558.71,552.78,548.92,456005.82,,,,,,,,,,,,,
548.88,558.32,548.92,555.66,154076.21,,,,,,,,,,,,,
523.05,560.97,555.66,534.4,574927.77,,,,,,,,,,,,,
512.55,537.0,534.4,529.85,567734.53,,,,,,,,,,,,,
498.0,529.91,529.9,513.99,781117.88,,,,,,,,,,,,,
509.45,530.92,514.0,529.78,536766.02,,,,,,,,,,,,,
526.45,538.75,529.79,532.42,339088.98,,,,,,,,,,,,,
501.6,533.65,532.47,507.96,372705.27,,,,,,,,,,,,,
506.25,523.01,507.97,512.62,358848.18,,,,,,,,,,,,529.5111111111111,
500.29,534.3,512.62,532.29,427435.23,,,,,,,,,,,,530.0668888888889,
522.5,536.33,532.28,533.85,330318.76,,,,,,,,,,,,530.8235111111112,
515.8,539.88,533.84,516.95,380942.41,,,,,,,,,,,,528.048808888889,
505.0,542.89,516.95,541.27,508845.69,,,,,,,,,,,,530.6930471111112,
539.97,559.47,541.27,556.99,297482.25,,,,,,,,,,,,535.9524376888891,
549.01,562.58,557.0,552.93,313828.92,,,,,,,,,,56.45816670970634,23.258789501160276,539.3479501511113,
541.11,555.38,552.99,550.27,257216.6,,,,,,,,,,55.09626748383404,22.30188796185275,541.532360120889,
549.95,571.59,550.28,558.6,372921.53,,,,,,,,,,58.47443944608963,22.233811168906634,544.9458880967113,
553.84,566.02,558.61,558.73,253828.01,,,,,,,,,,58.526877803161426,21.231256296883956,547.7027104773691,
544.51,567.24,558.73,552.36,282235.73,,,,,,,,,,54.87048271352209,21.376597601129998,548.6341683818953,
546.74,558.75,552.35,554.13,136214.32,,,,,,,,,,55.69867839220316,20.490894757648384,549.7333347055162,
552.4,578.35,554.14,575.94,383341.02,,,,,576.1787205700593,540.0495,503.9202794299406,13.379966306814238,0.9966962950446665,64.37433468543662,20.995435609799408,554.974667764413,
571.52,586.99,575.95,584.3,279993.98,,,,,581.9784368100848,541.4815,500.98456318991515,14.957828405987945,1.0286634418894747,67.03887886924801,20.49526463065066,560.8397342115304,
563.81,587.86,584.31,566.15,429877.57,,,,,584.8014659707525,543.0690000000001,501.33653402924773,15.369121040144941,0.7765353000728004,57.06068458743478,20.81101613955548,561.9017873692244,
542.09,570.54,566.14,554.34,636561.62,,,,,585.8393759806555,544.2935,502.7476240193445,15.265982776077793,0.6209085109275087,51.67137442902664,21.47795079656281,560.3894298953795,
543.12,554.75,554.37,550.34,286429.7,,,,,585.3091912337803,546.1110000000001,506.9128087662198,14.355393403092133,0.5539438156059033,49.95057034167273,20.631597007273438,558.3795439163036,
534.5,554.88,550.34,554.31,228195.07,,,,,585.9456001216067,547.3375,508.7293998783933,14.107602757569772,0.5902984085986898,51.67087569238661,20.610283560357917,557.565635133043,544.5903846153847
543.7,563.1,554.32,550.65,264055.02,10.282635646961353,,,,586.2615010489972,548.249,510.2364989510029,13.866874740855756,0.5315817156690785,49.96575880161189,20.5091013552224,556.1825081064344,545.039245014245
548.52,558.82,550.66,555.23,156589.2,9.513629420936354,,,13.967321948916567,583.894805734429,550.6125,517.3301942655709,12.089193665029068,0.5693686915330428,52.096095850856464,19.665864536161607,555.9920064851475,545.7941157539306
550.68,559.2,555.23,554.53,177218.64,8.746873780364695,,,13.714517497589993,581.0722511623347,552.708,524.3437488376652,10.263738235138543,0.5321178935691322,51.73354370813493,18.755422110990757,555.6996051881181,546.4412182906765
553.45,568.02,554.53,562.58,259316.97,8.688625073018216,,,12.445806806745683,581.2681694315378,554.2225000000001,527.1768305684624,9.759859778893025,0.6545071757450077,55.56345006061753,18.41700940693443,557.0756841504946,547.6366836024782
558.4,565.49,562.58,559.38,105347.62,8.28870229577501,,,11.342263703362043,580.9403568034414,555.499,530.0576431965586,9.159820919008462,0.5762734477957362,53.7380281931048,17.50971560753183,557.5365473203957,548.5065588911835
550.91,562.7,559.38,552.15,100182.44,7.3041622019716215,,,11.166888331575725,575.6956568552982,557.259,538.8223431447018,6.616907705500754,0.3614445113314608,49.76034296976094,17.055504882428295,556.4592378563166,548.7764434177625
550.92,562.33,552.15,551.06,138455.39,6.362608997972188,,,11.012465088255345,574.938839467271,557.7485,540.5581605327291,6.164190299846965,0.30545759399532346,49.16943911461903,16.610737843103383,555.3793902850533,548.9455957571874
549.27,555.6,551.06,553.01,96507.38,5.707972054690913,-2.7893766525317645,8.497348707222677,11.048780884891231,574.8620670829029,557.5495,540.2369329170971,6.210234995422967,0.3688958148649434,50.30635186146029,15.806708304292629,554.9055122280427,549.2466627381365
552.06,557.84,553.02,556.81,90970.84,5.4331656512119935,-2.4513464448085474,7.884512096020541,10.78499569200152,574.9311656646566,557.7435,540.5558343353434,6.163286767001894,0.47284389811236344,52.53435250554399,15.027825643361181,555.2864097824341,549.8069099427189
556.11,564.79,556.8,560.83,172299.92,5.476628831948233,-1.9263066112578464,7.402935443206079,9.962497153385454,575.1544905822403,558.2715000000001,541.3885094177598,6.04830824508873,0.5757715283775419,54.84102353580626,14.537785348990784,556.3951278259474,550.6234351321472
554.13,565.32,560.84,564.27,161079.65,5.722685411363273,-1.3442000254742457,7.066885436837518,9.195995182157917,575.639750510324,558.5550000000001,541.4702494896761,6.117481898944219,0.6672544178080466,56.776736160080084,14.280825115286774,557.9701022607579,551.6342917890252
562.73,573.78,564.27,568.36,141137.92,6.176516800803938,-0.7122949088268644,6.888811709630803,9.254720895917359,576.6485075800578,559.0364999999999,541.4244924199421,6.300843533493009,0.7646915735647631,59.025579298082185,14.034156134305688,560.0480818086064,552.8732331379863
565.47,582.72,568.36,581.73,199354.23,7.528247754914901,0.511548836227278,7.016698918687623,10.152398608557323,580.3957189412554,560.505,540.6142810587446,7.097427834276371,1.0335402924018298,65.36870255722475,14.278479240661767,564.3844654468852,555.0107714240614
580.63,589.88,581.74,584.23,232335.13,8.70093442545874,1.3473884054168934,7.353546020041847,11.547039753668832,584.1691425826907,562.01,539.8508574173093,7.885675551214647,1.0013731898037617,66.41563990083446,13.898170489461803,568.3535723575081,557.1751587259828
