low,high,open,close,volume,macd,macd_hist,macd_signal,adx,bb_upper,bb_middle,bb_lower,bb_width,bb_percent,rsi,atr,ema_short,ema_long
0.6876,0.7228,0.7213,0.6889,89732745.0,,,,,,,,,,,,,
0.6681,0.7031,0.6889,0.7011,153243879.0,,,,,,,,,,,,,
0.6932,0.7046,0.701,0.6966,40452665.0,,,,,,,,,,,,,
0.685,0.7044,0.6967,0.7017,66812719.0,,,,,,,,,,,,,
0.6975,0.7077,0.7017,0.7041,34042159.0,,,,,,,,,,,,,
0.6996,0.72,0.704,0.7187,49549253.0,,,,,,,,,,,,,
0.7085,0.7205,0.7187,0.7189,33041861.0,,,,,,,,,,,,,
0.7159,0.7255,0.7188,0.718,35467146.0,,,,,,,,,,,,,
0.7085,0.7215,0.7179,0.7127,39823544.0,,,,,,,,,,,,0.7067444444444444,
0.7077,0.7174,0.7126,0.7166,21385463.0,,,,,,,,,,,,0.7087155555555555,
0.7159,0.7367,0.7165,0.7357,37906263.0,,,,,,,,,,,,0.7141124444444444,
0.715,0.7412,0.7357,0.7198,70695095.0,,,,,,,,,,,,0.7152499555555556,
0.6991,0.7205,0.7198,0.7024,53908400.0,,,,,,,,,,,,0.7126799644444445,
0.7017,0.713,0.7024,0.7126,16712728.0,,,,,,,,,,,,0.7126639715555556,
0.7098,0.7251,0.7126,0.7245,17527026.0,,,,,,,,,,61.6699009440099,0.016596590343411204,0.7150311772444445,
0.7195,0.7307,0.7245,0.7282,27837287.0,,,,,,,,,,63.3404555052167,0.016022096346643814,0.7176649417955556,
0.7209,0.7309,0.7281,0.7226,26497982.0,,,,,,,,,,59.13930784211085,0.015402709033805495,0.7186519534364445,
0.7212,0.7278,0.7225,0.7243,19860961.0,,,,,,,,,,60.00651253355311,0.014524912675730531,0.7197815627491556,
0.7198,0.7259,0.7244,0.7211,13476767.0,,,,,,,,,,57.5313364352764,0.013707903207131028,0.7200452501993245,
0.7172,0.7264,0.7211,0.7229,14582295.0,,,,,,,,,,58.566633882549645,0.01328163714353777,0.7206162001594597,
0.7161,0.7252,0.7228,0.7189,16677902.0,,,,,0.7360196466134115,0.71607,0.6961203533865885,5.571982240119395,0.5709285746970948,55.338187003598414,0.012895162314032916,0.7202729601275678,
0.7081,0.7199,0.7189,0.7149,26633247.0,,,,,0.7355093359882423,0.71676,0.6980106640117576,5.231691497361001,0.4503982434053565,52.23714602094875,0.012796026527170217,0.7191983681020543,
0.7144,0.7252,0.7148,0.7245,20925703.0,,,,,0.7347215295098279,0.718155,0.701588470490172,4.6136361954809075,0.6915005794133263,58.27976548478535,0.012618728269414558,0.7202586944816435,
0.7228,0.7351,0.7246,0.7345,30349274.0,,,,,0.7360113466909166,0.7197950000000001,0.7035786533090835,4.50582365560098,0.9534005186333634,63.464886398513954,0.012590901148304738,0.7231069555853148,
0.7266,0.7359,0.7346,0.7281,24062063.0,,,,,0.735885866328055,0.720995,0.7061041336719451,4.13064343804185,0.7385690611772482,58.45743694018383,0.012308074120166396,0.7241055644682519,
0.7236,0.7299,0.7281,0.7267,21863751.0,,,,,0.7364467075443286,0.721395,0.7063432924556714,4.172944792888392,0.6762258529265305,57.390700000237935,0.011799114295038148,0.7246244515746015,0.7168846153846153
0.7232,0.7322,0.7268,0.7239,24251844.0,0.0058435567624572915,,,,0.7366887329144065,0.721645,0.7066012670855935,4.169289031145931,0.574948153255251,55.22034219629296,0.011565102559214394,0.7244795612596813,0.7174042735042735
